,kepid,kepoi_name,kepler_name,koi_kepmag,system,# TTV,# non TTV,size_sys,circumbinary_flag,# stars,eccentricity,eccentric?
1,10854555,K00755.01,Kepler-664 b,15.509,Kepler-664,0,1,1,0,1,[None],False
2,10872983,K00756.02,Kepler-228 c,15.714,Kepler-228,0,3,3,0,1,"[None, None, None]",False
3,10984090,K00112.02,Kepler-466 c,12.772,Kepler-466,0,2,2,0,1,"[None, None]",False
4,10526549,K00746.01,Kepler-660 b,15.302,Kepler-660,0,1,1,0,1,[None],False
5,10583066,K00747.01,Kepler-661 b,15.784,Kepler-661,0,1,1,0,1,[None],False
6,10601284,K00749.01,Kepler-226 c,15.416,Kepler-226,0,3,3,0,1,"[None, None, None]",False
7,10662202,K00750.01,Kepler-662 b,15.377,Kepler-662,0,1,1,0,1,[None],False
8,10682541,K00751.01,Kepler-663 b,15.861,Kepler-663,0,1,1,0,1,[None],False
9,11460018,K00769.01,Kepler-671 b,15.356,Kepler-671,0,1,1,0,1,[None],False
12,11153539,K00762.01,Kepler-666 b,15.395,Kepler-666,0,1,1,0,1,[None],False
14,11391957,K00765.01,Kepler-668 b,15.317,Kepler-668,0,1,1,0,1,[None],False
15,12110942,K00786.01,Kepler-680 b,15.242,Kepler-680,0,1,1,0,1,[None],False
16,8395660,K00116.01,Kepler-106 c,12.882,Kepler-106,0,16,16,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",False
21,11853255,K00778.01,Kepler-674 b,15.135,Kepler-674,0,1,1,0,1,[None],False
22,11918099,K00780.01,Kepler-675 b,15.334,Kepler-675,0,1,1,0,1,[None],False
23,11923270,K00781.01,Kepler-676 b,15.937,Kepler-676,0,1,1,0,1,[None],False
26,12070811,K00785.01,Kepler-679 b,15.505,Kepler-679,0,1,1,0,1,[None],False
28,2713049,K00794.01,Kepler-683 b,15.026,Kepler-683,0,1,1,0,1,[None],False
29,3114167,K00795.01,Kepler-684 b,15.591,Kepler-684,0,1,1,0,1,[None],False
30,4139816,K00812.02,Kepler-235 d,15.954,Kepler-235,0,4,4,0,1,"[None, None, None, None]",False
31,4139816,K00812.03,Kepler-235 e,15.954,Kepler-235,0,4,4,0,1,"[None, None, None, None]",False
32,3641726,K00804.01,Kepler-1727 b,15.387,Kepler-1727,0,1,1,0,1,[None],False
33,3940418,K00810.01,Kepler-1728 b,15.119,Kepler-1728,0,1,1,0,1,[None],False
34,4139816,K00812.01,Kepler-235 b,15.954,Kepler-235,0,4,4,0,1,"[None, None, None, None]",False
36,4725681,K00817.01,Kepler-236 c,15.414,Kepler-236,0,2,2,0,1,"[None, None]",False
37,4913852,K00818.01,Kepler-691 b,15.877,Kepler-691,0,1,1,0,1,[None],False
38,5252423,K00825.01,Kepler-237 c,15.289,Kepler-237,0,2,2,0,1,"[None, None]",False
39,5252423,K00825.02,Kepler-237 b,15.289,Kepler-237,0,2,2,0,1,"[None, None]",False
40,5272878,K00826.01,Kepler-694 b,15.09,Kepler-694,0,1,1,0,1,[None],False
42,5456651,K00835.01,Kepler-239 b,15.208,Kepler-239,0,2,2,0,1,"[None, None]",False
43,5531576,K00837.01,Kepler-240 c,15.66,Kepler-240,0,2,2,0,1,"[None, None]",False
44,5531576,K00837.02,Kepler-240 b,15.66,Kepler-240,0,2,2,0,1,"[None, None]",False
46,5794379,K00842.01,Kepler-241 b,15.389,Kepler-241,0,2,2,0,1,"[None, None]",False
47,6276477,K00849.01,Kepler-701 b,15.018,Kepler-701,0,1,1,0,1,[None],False
50,6587280,K00857.01,Kepler-243 b,15.086,Kepler-243,0,2,2,0,1,"[None, None]",False
51,6685526,K00861.01,Kepler-707 b,15.001,Kepler-707,0,1,1,0,1,[None],False
52,6784235,K00863.01,Kepler-708 b,15.533,Kepler-708,0,1,1,0,1,[None],False
