,kepler_name,kepid,system,# TTV,# non TTV,size_sys,circumbinary_flag,# stars,eccentricity,eccentric?
0,Kepler-680 b,12110942,Kepler-680 ,0,1,1,0,1,[None],False
4,Kepler-674 b,11853255,Kepler-674 ,0,1,1,0,1,[None],False
7,Kepler-235 d,4139816,Kepler-235 ,0,4,4,0,1,"[None, None, None, None]",False
8,Kepler-235 e,4139816,Kepler-235 ,0,4,4,0,1,"[None, None, None, None]",False
10,Kepler-236 c,4725681,Kepler-236 ,0,2,2,0,1,"[None, None]",False
17,Kepler-716 c,7678434,Kepler-716 ,0,2,2,0,1,"[None, None]",False
24,Kepler-253 b,8689373,Kepler-253 ,0,3,3,0,1,"[None, None, None]",False
25,Kepler-256 b,9466668,Kepler-256 ,0,4,4,0,1,"[None, None, None, None]",False
27,Kepler-260 b,2854698,Kepler-260 ,0,2,2,0,1,"[None, None]",False
29,Kepler-773 b,2849805,Kepler-773 ,0,1,1,0,1,[None],False
30,Kepler-262 c,1718189,Kepler-262 ,0,2,2,0,1,"[None, None]",False
32,Kepler-760 c,8222813,Kepler-760 ,0,2,2,0,1,"[None, None]",False
33,Kepler-788 b,3438507,Kepler-788 ,0,1,1,0,1,[None],False
34,Kepler-778 b,8288947,Kepler-778 ,0,1,1,0,1,[None],False
36,Kepler-763 d,10141900,Kepler-763 ,0,3,3,0,1,"[0.0, 0.0, None]",False
37,Kepler-737 b,9710326,Kepler-737 ,0,1,1,0,1,[None],False
38,Kepler-764 b,10157458,Kepler-764 ,0,1,1,0,1,[None],False
41,Kepler-753 b,2715135,Kepler-753 ,0,1,1,0,1,[None],False
42,Kepler-272 c,10426656,Kepler-272 ,0,3,3,0,1,"[None, None, None]",False
43,Kepler-273 b,10468940,Kepler-273 ,0,2,2,0,1,"[None, None]",False
44,Kepler-768 b,3245969,Kepler-768 ,0,1,1,0,1,[None],False
45,Kepler-273 c,10468940,Kepler-273 ,0,2,2,0,1,"[None, None]",False
46,Kepler-845 b,11401182,Kepler-845 ,0,1,1,0,1,[None],False
47,Kepler-280 b,6690082,Kepler-280 ,0,2,2,0,1,"[None, None]",False
48,Kepler-798 b,6693640,Kepler-798 ,0,1,1,0,1,[None],False
49,Kepler-828 b,6934291,Kepler-828 ,0,1,1,0,1,[None],False
50,Kepler-301 d,11389771,Kepler-301 ,0,3,3,0,1,"[None, None, None]",False
52,Kepler-1751 b,11599038,Kepler-1751 ,0,1,1,0,1,[None],False
53,Kepler-848 b,11193263,Kepler-848 ,0,1,1,0,1,[None],False
56,Kepler-833 b,9214942,Kepler-833 ,0,1,1,0,1,[None],False
57,Kepler-804 b,8628758,Kepler-804 ,0,2,2,0,1,"[None, None]",False
58,Kepler-824 b,4650674,Kepler-824 ,0,1,1,0,1,[None],False
59,Kepler-825 c,4275721,Kepler-825 ,0,2,2,0,1,"[None, None]",False
60,Kepler-113 b,12252424,Kepler-113 ,0,2,2,0,1,"[None, None]",False
62,Kepler-842 b,11611600,Kepler-842 ,0,1,1,0,1,[None],False
63,Kepler-935 b,9838949,Kepler-935 ,0,1,1,0,1,[None],False
64,Kepler-311 b,10055126,Kepler-311 ,0,3,3,0,1,"[None, None, 0.0]",False
67,Kepler-866 b,7439316,Kepler-866 ,0,1,1,0,1,[None],False
68,Kepler-306 b,5438099,Kepler-306 ,0,4,4,0,1,"[None, None, None, None]",False
69,Kepler-915 b,9277896,Kepler-915 ,0,1,1,0,1,[None],False
70,Kepler-917 b,10686864,Kepler-917 ,0,1,1,0,1,[None],False
71,Kepler-872 b,7901948,Kepler-872 ,0,1,1,0,1,[None],False
72,Kepler-876 b,7663405,Kepler-876 ,0,1,1,0,1,[None],False
73,Kepler-878 b,9818462,Kepler-878 ,0,1,1,0,1,[None],False
74,Kepler-1711 b,6803202,Kepler-1711 ,0,1,1,0,1,[None],False
75,Kepler-922 b,11547505,Kepler-922 ,0,1,1,0,1,[None],False
76,Kepler-881 b,9824805,Kepler-881 ,0,1,1,0,1,[None],False
