,kepid,kepoi_name,kepler_name,koi_kepmag,system,# TTV,# non TTV,size_sys,circumbinary_flag,# stars,eccentricity
0,10797460,K00752.01,Kepler-227 b,15.347,Kepler-227,1,1,2,0,1,"[None, None]"
1,10854555,K00755.01,Kepler-664 b,15.509,Kepler-664,0,1,1,0,1,[None]
2,10872983,K00756.02,Kepler-228 c,15.714,Kepler-228,0,3,3,0,1,"[None, None, None]"
3,10984090,K00112.02,Kepler-466 c,12.772,Kepler-466,0,2,2,0,1,"[None, None]"
4,10526549,K00746.01,Kepler-660 b,15.302,Kepler-660,0,1,1,0,1,[None]
5,10583066,K00747.01,Kepler-661 b,15.784,Kepler-661,0,1,1,0,1,[None]
6,10601284,K00749.01,Kepler-226 c,15.416,Kepler-226,0,3,3,0,1,"[None, None, None]"
7,10662202,K00750.01,Kepler-662 b,15.377,Kepler-662,0,1,1,0,1,[None]
8,10682541,K00751.01,Kepler-663 b,15.861,Kepler-663,0,1,1,0,1,[None]
9,11460018,K00769.01,Kepler-671 b,15.356,Kepler-671,0,1,1,0,1,[None]
10,11507101,K00773.01,Kepler-672 b,15.172,Kepler-672,1,0,1,0,1,[None]
11,10910878,K00757.03,Kepler-229 b,15.841,Kepler-229,1,2,3,0,1,"[None, None, None]"
12,11153539,K00762.01,Kepler-666 b,15.395,Kepler-666,0,1,1,0,1,[None]
13,9579641,K00115.01,Kepler-105 b,12.791,Kepler-105,1,13,14,0,1,"[0.47, None, None, None, None, None, None, None, None, None, None, None, None, 0.0]"
14,11391957,K00765.01,Kepler-668 b,15.317,Kepler-668,0,1,1,0,1,[None]
15,12110942,K00786.01,Kepler-680 b,15.242,Kepler-680,0,1,1,0,1,[None]
16,8395660,K00116.01,Kepler-106 c,12.882,Kepler-106,0,16,16,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
17,9579641,K00115.02,Kepler-105 c,12.791,Kepler-105,1,13,14,0,1,"[None, None, None, None, 0.0, None, None, None, None, 0.47, None, None, None, None]"
